"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","AUS","Australia","2012","2012",50598,"E; D","Estimated value; Difference in methodology"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","AUS","Australia","2016","2016",47448,"E; D","Estimated value; Difference in methodology"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","AUS","Australia","2020","2020",59136,"E; B; D","Estimated value; Break; Difference in methodology"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2010","2010",69772,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2011","2011",70334,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2012","2012",72608,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2013","2013",69033,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2014","2014",72225,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2015","2015",75028,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2016","2016",76896,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2017","2017",76979,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2018","2018",77796,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2019","2019",78781,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2020","2020",81392,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CAN","Canada","2021","2021",80842,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2011","2011",7948.9,"E; B","Estimated value; Break"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2012","2012",8777,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2013","2013",9372.1,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2014","2014",8933.5,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2015","2015",10744.3,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2016","2016",7491.1,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2017","2017",7361.6,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2018","2018",5674.5,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2019","2019",6800.7,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2020","2020",7200.6,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","CZE","Czech Republic","2021","2021",7917.4,"E","Estimated value"
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2010","2010",12541,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2011","2011",12837,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2012","2012",13139,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2013","2013",13136,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2014","2014",13479,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2015","2015",13748,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2016","2016",14064,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2017","2017",14117,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2018","2018",14903,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2019","2019",15313,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DNK","Denmark","2020","2020",15211,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","FIN","Finland","2021","2021",9201,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","FIN","Finland","2022","2022",9344,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DEU","Germany","2011","2011",340712,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DEU","Germany","2013","2013",355291,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DEU","Germany","2015","2015",370993,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DEU","Germany","2017","2017",387270,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DEU","Germany","2019","2019",397843,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","DEU","Germany","2021","2021",396234,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","HUN","Hungary","2010","2010",31568,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","HUN","Hungary","2011","2011",32788,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","HUN","Hungary","2012","2012",34732,,
"LTWFFWHC","Formal LTC workers (Head counts)","TOTNURNB","Total nurses (at home and in institutions)","HUN","Hungary","2013","2013",33781,,
