"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUS","Australia","2017","2017",21.5,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUS","Australia","2017","2017",34.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2017","2017",28.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUT","Austria","2014","2014",25.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUT","Austria","2017","2017",27.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUT","Austria","2019","2019",27.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUT","Austria","2014","2014",39.4,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUT","Austria","2017","2017",43,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUT","Austria","2019","2019",41.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2014","2014",32.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2017","2017",35,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2019","2019",34.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","BEL","Belgium","2013","2013",27.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","BEL","Belgium","2018","2018",28.4,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","BEL","Belgium","2013","2013",41.3,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","BEL","Belgium","2018","2018",38.6,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2013","2013",34.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2018","2018",33.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2010","2010",26.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2011","2011",26.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2012","2012",26.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2013","2013",27,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2014","2014",26.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2015","2015",27.3,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2016","2016",27.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2017","2017",27.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2018","2018",27.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2019","2019",28.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2020","2020",27.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2021","2021",28.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2010","2010",39.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2011","2011",39,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2012","2012",39.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2013","2013",40.7,,
