"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"SRHSFGHA","Good/very good health, females aged 15-24","PERCALEF","% of population (crude rate)","AUS","Australia","2011","2011",90.1,"D","Difference in methodology"
"SRHSFGHA","Good/very good health, females aged 15-24","PERCALEF","% of population (crude rate)","AUS","Australia","2014","2014",89.9,"D","Difference in methodology"
"SRHSFGHA","Good/very good health, females aged 15-24","PERCALEF","% of population (crude rate)","AUS","Australia","2017","2017",92.5,"D","Difference in methodology"
"SRHSFGHB","Good/very good health females aged 25-44","PERCALEF","% of population (crude rate)","AUS","Australia","2011","2011",91,"D","Difference in methodology"
"SRHSFGHB","Good/very good health females aged 25-44","PERCALEF","% of population (crude rate)","AUS","Australia","2014","2014",90.2,"D","Difference in methodology"
"SRHSFGHB","Good/very good health females aged 25-44","PERCALEF","% of population (crude rate)","AUS","Australia","2017","2017",91.2,"D","Difference in methodology"
"SRHSFGHC","Good/very good health females aged 45-64","PERCALEF","% of population (crude rate)","AUS","Australia","2011","2011",84.2,"D","Difference in methodology"
"SRHSFGHC","Good/very good health females aged 45-64","PERCALEF","% of population (crude rate)","AUS","Australia","2014","2014",83.6,"D","Difference in methodology"
"SRHSFGHC","Good/very good health females aged 45-64","PERCALEF","% of population (crude rate)","AUS","Australia","2017","2017",83.4,"D","Difference in methodology"
"SRHSFGHD","Good/very good health, females aged 65+","PERCALEF","% of population (crude rate)","AUS","Australia","2011","2011",71.7,"D","Difference in methodology"
"SRHSFGHD","Good/very good health, females aged 65+","PERCALEF","% of population (crude rate)","AUS","Australia","2014","2014",73.6,"D","Difference in methodology"
"SRHSFGHD","Good/very good health, females aged 65+","PERCALEF","% of population (crude rate)","AUS","Australia","2017","2017",73.8,"D","Difference in methodology"
"SRHSFGHE","Good/very good health, females aged 15+","PERCALEF","% of population (crude rate)","AUS","Australia","2011","2011",85.4,"D","Difference in methodology"
"SRHSFGHE","Good/very good health, females aged 15+","PERCALEF","% of population (crude rate)","AUS","Australia","2014","2014",85.1,"D","Difference in methodology"
"SRHSFGHE","Good/very good health, females aged 15+","PERCALEF","% of population (crude rate)","AUS","Australia","2017","2017",85.6,"D","Difference in methodology"
"SRHSMGHA","Good/very good health, males aged 15-24","PERCALEF","% of population (crude rate)","AUS","Australia","2011","2011",91.7,"D","Difference in methodology"
"SRHSMGHA","Good/very good health, males aged 15-24","PERCALEF","% of population (crude rate)","AUS","Australia","2014","2014",91.1,"D","Difference in methodology"
