"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2002","2002",312,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2008","2008",314.1,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2012","2012",323,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2002","2002",41.7,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2008","2008",38.7,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2012","2012",38.4,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2002","2002",28.2,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2008","2008",25.6,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","AUS","Australia","2012","2012",27,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2000","2000",250.7,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2002","2002",275.5,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2008","2008",250.6,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2012","2012",254.1,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2000","2000",34.7,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2002","2002",35,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2008","2008",28.6,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2012","2012",26,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2000","2000",27,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2002","2002",28.5,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2008","2008",25.1,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","AUT","Austria","2012","2012",27.5,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2000","2000",282.2,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2002","2002",296.2,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2008","2008",309.4,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2012","2012",321.1,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2000","2000",32.7,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2002","2002",31.9,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2008","2008",35.5,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2012","2012",36.7,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2000","2000",43.8,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2002","2002",43.8,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2008","2008",35.3,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","BEL","Belgium","2012","2012",36.8,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2002","2002",299.9,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2008","2008",296.6,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2012","2012",295.7,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2002","2002",36.4,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2008","2008",38.1,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2012","2012",35.2,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2002","2002",43.7,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2008","2008",35.9,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","CAN","Canada","2012","2012",37.9,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2002","2002",289.3,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2008","2008",288.5,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2012","2012",293.8,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2002","2002",45.3,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2008","2008",43,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2012","2012",38.9,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2002","2002",39.7,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2008","2008",32.1,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","CZE","Czech Republic","2012","2012",32.5,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2000","2000",287.8,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2002","2002",281.4,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2008","2008",321.1,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2012","2012",338.1,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2000","2000",34.7,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2002","2002",37,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2008","2008",39.7,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2012","2012",40.5,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2000","2000",37.3,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2002","2002",37.6,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2008","2008",39.3,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","DNK","Denmark","2012","2012",39.2,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2000","2000",241,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2002","2002",246,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2008","2008",250.1,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2012","2012",256.8,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2000","2000",23.2,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2002","2002",23.3,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2008","2008",23.2,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2012","2012",23.5,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2000","2000",22.8,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2002","2002",21.8,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2008","2008",19.1,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","FIN","Finland","2012","2012",20.1,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","FRA","France","2000","2000",281.5,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","FRA","France","2002","2002",289.5,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","FRA","France","2008","2008",300.4,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","FRA","France","2012","2012",303.5,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","FRA","France","2000","2000",33.3,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","FRA","France","2002","2002",33.4,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","FRA","France","2008","2008",29.4,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","FRA","France","2012","2012",30,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","FRA","France","2000","2000",30.5,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","FRA","France","2002","2002",30.7,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","FRA","France","2008","2008",30,,
"CANCLUNC","Malignant neoplasms of lung","PERCMTTX","Incidence per 100 000 population","FRA","France","2012","2012",35,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","DEU","Germany","2000","2000",273.8,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","DEU","Germany","2002","2002",283.3,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","DEU","Germany","2008","2008",282.1,,
"CANCTOCA","Malignant neoplasms","PERCMTTX","Incidence per 100 000 population","DEU","Germany","2012","2012",283.8,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","DEU","Germany","2000","2000",38.5,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","DEU","Germany","2002","2002",39.3,,
"CANCCOLC","Malignant neoplasms of colon","PERCMTTX","Incidence per 100 000 population","DEU","Germany","2008","2008",35.5,,
