"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUS","Australia","2010","2010",218026,"D","Difference in methodology"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUS","Australia","2010","2010",264192,"D","Difference in methodology"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUS","Australia","2011","2011",277774,"D","Difference in methodology"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2013","2013",56620,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2014","2014",56168,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2015","2015",56670,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2016","2016",57907,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2017","2017",64281,"B","Break"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2018","2018",71383,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2019","2019",71757,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2020","2020",68182,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","AUT","Austria","2021","2021",70033,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2013","2013",105736,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2014","2014",108783,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2015","2015",107174,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2016","2016",108985,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2017","2017",102319,"B","Break"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2018","2018",105287,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2019","2019",108750,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2020","2020",103539,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","AUT","Austria","2021","2021",107014,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2010","2010",247375,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2011","2011",254808,"E; B","Estimated value; Break"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2012","2012",258030,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2013","2013",263688,"E; B","Estimated value; Break"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2014","2014",267306,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2015","2015",270995,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2016","2016",320135,"B","Break"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2017","2017",319488,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2018","2018",320787,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2019","2019",321400,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2021","2021",314455,"D","Difference in methodology"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CAN","Canada","2022","2022",314910,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CAN","Canada","2015","2015",883300,"E; B; D","Estimated value; Break; Difference in methodology"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CAN","Canada","2016","2016",948600,"E; D","Estimated value; Difference in methodology"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CZE","Czech Republic","2010","2010",54859,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CZE","Czech Republic","2015","2015",62410,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CZE","Czech Republic","2016","2016",64217,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CZE","Czech Republic","2017","2017",65031,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CZE","Czech Republic","2018","2018",66692,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CZE","Czech Republic","2019","2019",67889,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CZE","Czech Republic","2020","2020",63912,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","CZE","Czech Republic","2021","2021",67719,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CZE","Czech Republic","2010","2010",255294,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CZE","Czech Republic","2015","2015",277712,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CZE","Czech Republic","2016","2016",286021,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CZE","Czech Republic","2017","2017",291121,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CZE","Czech Republic","2018","2018",293420,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CZE","Czech Republic","2019","2019",298175,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CZE","Czech Republic","2020","2020",296627,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","CZE","Czech Republic","2021","2021",292330,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","DNK","Denmark","2010","2010",44380,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","DNK","Denmark","2011","2011",43333,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","DNK","Denmark","2012","2012",43262,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","DNK","Denmark","2013","2013",42497,"E","Estimated value"
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","DNK","Denmark","2014","2014",42641,"E","Estimated value"
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2010","2010",176917,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2011","2011",166220.6,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2012","2012",156939.8,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2013","2013",150386.7,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2014","2014",148416.3,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2015","2015",145972.9,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2016","2016",146311.4,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2017","2017",144606.6,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2018","2018",145407.6,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2019","2019",149143.1,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2020","2020",149949.1,,
"LTCILTHT","LTC recipients at home","TOTAGENB","Total, all ages","DNK","Denmark","2021","2021",153632,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","FIN","Finland","2010","2010",58342,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","FIN","Finland","2011","2011",60486,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","FIN","Finland","2012","2012",60437,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","FIN","Finland","2013","2013",61575,,
"LTCILTIT","LTC recipients in institutions (other than hospitals)","TOTAGENB","Total, all ages","FIN","Finland","2014","2014",63111,,
